,img_id,img_name,img_path,category_id,label,img_set,label2,category_id2,label_same,category_id_same
89,image_00010,image_00010.jpg,jpg/image_00010.jpg,76.0,passion flower,train,passion flower,76.0,True,True
81,image_00015,image_00015.jpg,jpg/image_00015.jpg,76.0,passion flower,train,passion flower,76.0,True,True
75,image_00022,image_00022.jpg,jpg/image_00022.jpg,76.0,passion flower,train,passion flower,76.0,True,True
83,image_00032,image_00032.jpg,jpg/image_00032.jpg,76.0,passion flower,train,passion flower,76.0,True,True
77,image_00038,image_00038.jpg,jpg/image_00038.jpg,76.0,passion flower,train,passion flower,76.0,True,True
104,image_00043,image_00043.jpg,jpg/image_00043.jpg,76.0,passion flower,train,passion flower,76.0,True,True
117,image_00065,image_00065.jpg,jpg/image_00065.jpg,76.0,passion flower,train,passion flower,76.0,True,True
102,image_00077,image_00077.jpg,jpg/image_00077.jpg,76.0,passion flower,train,thorn apple,76.0,False,True
70,image_00083,image_00083.jpg,jpg/image_00083.jpg,76.0,passion flower,train,tree mallow,76.0,False,True
28,image_00084,image_00084.jpg,jpg/image_00084.jpg,76.0,passion flower,train,passion flower,76.0,True,True
14,image_00110,image_00110.jpg,jpg/image_00110.jpg,76.0,passion flower,train,passion flower,76.0,True,True
97,image_00120,image_00120.jpg,jpg/image_00120.jpg,76.0,passion flower,train,passion flower,76.0,True,True
115,image_00166,image_00166.jpg,jpg/image_00166.jpg,76.0,passion flower,train,bolero deep blue,76.0,False,True
71,image_00183,image_00183.jpg,jpg/image_00183.jpg,76.0,passion flower,train,passion flower,76.0,True,True
54,image_00193,image_00193.jpg,jpg/image_00193.jpg,76.0,passion flower,train,passion flower,76.0,True,True
109,image_00203,image_00203.jpg,jpg/image_00203.jpg,76.0,passion flower,train,cape flower,76.0,False,True
12,image_00218,image_00218.jpg,jpg/image_00218.jpg,76.0,passion flower,train,passion flower,76.0,True,True
27,image_00223,image_00223.jpg,jpg/image_00223.jpg,76.0,passion flower,train,passion flower,76.0,True,True
