category,rows_to_select,selected_rows
0,,32
1,,32
2,,16
3,,32
4,,32
5,,29
6,,25
7,,32
8,,32
9,,32
10,,32
11,,32
12,,25
13,,19
14,,32
15,,32
16,,21
17,,32
18,,32
19,,32
20,,32
21,,32
22,,32
23,,32
24,,25
25,,32
26,,32
27,,32
28,,32
29,,32
30,,32
31,,26
32,,32
33,,32
34,,32
35,,32
36,,29
37,,28
38,,32
39,,32
40,,32
41,,30
42,,32
43,,32
44,,23
45,,24
46,,32
47,,32
48,,27
49,,32
50,,32
51,,32
52,,17
53,,32
54,,32
55,,32
56,,32
57,,28
58,,28
59,,32
60,,32
61,,32
62,,32
63,,32
64,,32
65,,28
66,,32
67,,32
68,,32
69,,32
70,,23
71,,32
72,,32
73,,32
74,,32
75,,32
76,,32
77,,32
78,,10
79,,32
80,,32
81,,32
82,,27
83,,32
84,,9
85,,32
86,,7
87,,32
88,,26
89,,32
90,,32
91,,32
92,,24
93,,32
94,,19
95,,32
96,,32
97,,32
98,,32
99,,32
100,,32
101,,28
102,,32
103,,32
104,,32
105,,32
106,,32
107,,32
108,,16
109,,32
110,,32
111,,32
112,,9
113,,28
114,,32
115,,31
116,,32
117,,32
118,,32
119,,32
120,,32
121,,32
122,,32
123,,32
124,,28
125,,32
126,,32
127,,32
128,,30
129,,32
130,,32
131,,32
132,,32
133,,32
134,,32
135,,2
136,,29
137,,23
138,,32
139,,32
140,,5
141,,32
142,,32
143,,32
144,,26
145,,32
146,,26
147,,29
148,,32
149,,25
150,,25
151,,32
152,,32
153,,32
154,,4
155,,23
156,,32
157,,30
158,,32
159,,32
160,,30
161,,32
162,,32
163,,32
164,,19
165,,32
166,,32
167,,19
168,,32
169,,32
170,,23
171,,32
172,,32
173,,32
174,,4
175,,32
176,,32
177,,32
178,,32
179,,23
180,,32
181,,32
182,,32
183,,27
184,,32
185,,32
186,,32
187,,27
188,,32
189,,16
190,,14
191,,32
192,,32
193,,32
194,,32
195,,26
196,,19
197,,32
198,,32
199,,32
200,,32
201,,32
202,,32
203,,24
204,,22
205,,8
206,,3
207,,3
208,,32
209,,32
210,,32
211,,32
212,,32
213,,14
214,,32
215,,32
216,,32
217,,32
218,,32
219,,32
220,,32
221,,32
222,,9
223,,32
224,,6
225,,32
226,,30
227,,32
228,,32
229,,32
230,,32
231,,32
232,,32
233,,28
234,,16
235,,32
236,,32
237,,23
238,,32
239,,16
240,,32
241,,32
242,,14
243,,27
244,,32
245,,27
246,,32
247,,32
248,,32
249,,32
250,,32
251,,32
252,,32
253,,32
254,,32
255,,32
256,,32
257,,30
258,,32
259,,32
260,,32
261,,32
262,,32
263,,32
264,,21
265,,32
266,,32
267,,1
268,,32
269,,32
270,,4
271,,32
272,,32
273,,29
274,,32
275,,32
276,,32
277,,32
278,,32
279,,32
280,,32
281,,32
282,,32
283,,32
284,,32
285,,32
286,,32
287,,32
288,,32
289,,32
290,,32
291,,32
292,,28
293,,31
294,,32
295,,32
296,,32
297,,2
298,,32
299,,32
300,,32
301,,32
302,,17
303,,32
304,,32
305,,32
306,,26
307,,32
308,,32
309,,32
310,,32
311,,32
312,,32
313,,32
314,,32
315,,32
316,,32
317,,5
318,,7
319,,22
320,,4
321,,32
322,,29
323,,32
324,,32
325,,18
326,,32
327,,32
328,,28
329,,28
330,,32
331,,28
332,,32
333,,32
334,,32
335,,32
336,,32
337,,32
338,,32
339,,28
340,,23
341,,32
342,,32
343,,32
344,,32
345,,32
346,,32
347,,32
348,,32
349,,32
350,,29
351,,32
352,,4
353,,32
354,,24
355,,32
356,,32
357,,32
358,,24
359,,32
360,,32
361,,30
362,,32
363,,32
364,,32
365,,22
366,,24
367,,29
368,,32
369,,32
370,,27
371,,21
372,,32
373,,32
374,,32
375,,32
376,,32
377,,32
378,,32
379,,32
380,,28
381,,32
382,,19
383,,32
384,,32
385,,21
386,,32
387,,32
388,,32
389,,32
390,,31
391,,32
392,,15
393,,32
394,,32
395,,24
396,,32
